processo_id;acao;autor;reu
P-02877;Inventário e partilha;Secretaria de Saúde de Santa Clara;TechBrasil S.A.
P-02878;Execução Cível;Ana Paula Lima;Construtora Nova Era Ltda.
P-02879;Execução de alimentos;Carlos Souza;Instituto Nacional de Energia Renovável
P-02880;Busca e apreensão;Construtora Nova Era Ltda.;Maria Oliveira
P-02881;Execução de alimentos;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-02882;Extinção de condomínio;Fernanda Costa;Oficina Mecânica do Zé
P-02883;Ações hipotecárias;Juliana Rocha;Pedro Henrique Santos
P-02884;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Instituto Nacional de Energia Renovável
P-02885;Falência e Recuperação Judicial;Estado de Santa Aurora;TechBrasil S.A.
P-02886;Extinção de condomínio;AgroVale Ltda.;Secretaria de Saúde de Santa Clara
P-02887;Inventário e partilha;Construtora Nova Era Ltda.;TechBrasil S.A.
P-02888;Inventário e partilha;Construtora Nova Era Ltda.;Carlos Souza
P-02889;Trabalhista;Ricardo Almeida;Juliana Rocha
P-02890;Execução Fiscal;Instituto Nacional de Energia Renovável;João da Silva
P-02891;Execução de título extrajudicial;Ana Paula Lima;João da Silva
P-02892;Execução Cível;Secretaria de Saúde de Santa Clara;Maria Oliveira
P-02893;Execução Fiscal;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-02894;Inventário e partilha;Juliana Rocha;TechBrasil S.A.
P-02895;Trabalhista;Estado de Santa Aurora;João da Silva
P-02896;Falência e Recuperação Judicial;Estado de Santa Aurora;GlobalTech Corp.
P-02897;Inventário e partilha;TechBrasil S.A.;Maria Oliveira
P-02898;Execução Fiscal;Secretaria de Saúde de Santa Clara;João da Silva
P-02899;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-02900;Extinção de condomínio;Ricardo Almeida;Prefeitura Municipal de Nova Esperança
P-02901;Inventário e partilha;AgroVale Ltda.;Secretaria de Saúde de Santa Clara
P-02902;Execução Cível;Secretaria de Saúde de Santa Clara;Secretaria de Saúde de Santa Clara
P-02903;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Oficina Mecânica do Zé
P-02904;Execução Fiscal;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-02905;Execução Cível;GlobalTech Corp.;Fernanda Costa
P-02906;Execução de alimentos;Ricardo Almeida;Fernanda Costa
P-02907;Trabalhista;Ana Paula Lima;Fernanda Costa
P-02908;Inventário e partilha;Construtora Nova Era Ltda.;Maria Oliveira
P-02909;Ações hipotecárias;GlobalTech Corp.;Maria Oliveira
P-02910;Extinção de condomínio;Prefeitura Municipal de Nova Esperança;Oficina Mecânica do Zé
P-02911;Execução Cível;Maria Oliveira;Estado de Santa Aurora
P-02912;Execução Fiscal;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-02913;Execução Cível;Construtora Nova Era Ltda.;Ricardo Almeida
P-02914;Busca e apreensão;Estado de Santa Aurora;Maria Oliveira
P-02915;Execução de alimentos;Oficina Mecânica do Zé;Maria Oliveira
P-02916;Ações hipotecárias;Construtora Nova Era Ltda.;João da Silva
P-02917;Execução Cível;Estado de Santa Aurora;Estado de Santa Aurora
P-02918;Ações hipotecárias;Fernanda Costa;Prefeitura Municipal de Nova Esperança
P-02919;Execução Fiscal;Estado de Santa Aurora;Estado de Santa Aurora
P-02920;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-02921;Execução Cível;TechBrasil S.A.;Pedro Henrique Santos
P-02922;Extinção de condomínio;Estado de Santa Aurora;Fernanda Costa
P-02923;Ações hipotecárias;João da Silva;Ana Paula Lima
P-02924;Execução de título extrajudicial;Oficina Mecânica do Zé;Construtora Nova Era Ltda.
P-02925;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-02926;Execução de alimentos;Ricardo Almeida;Oficina Mecânica do Zé
P-02927;Execução Fiscal;Instituto Nacional de Energia Renovável;Fernanda Costa
P-02928;Ações hipotecárias;João da Silva;Secretaria de Saúde de Santa Clara
P-02929;Execução Fiscal;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-02930;Ações hipotecárias;Carlos Souza;Construtora Nova Era Ltda.
P-02931;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;TechBrasil S.A.
P-02932;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-02933;Trabalhista;Ricardo Almeida;GlobalTech Corp.
P-02934;Execução de título extrajudicial;Estado de Santa Aurora;GlobalTech Corp.
P-02935;Execução de título extrajudicial;Ana Paula Lima;Carlos Souza
P-02936;Execução Cível;Pedro Henrique Santos;Estado de Santa Aurora
P-02937;Falência e Recuperação Judicial;Estado de Santa Aurora;Carlos Souza
P-02938;Busca e apreensão;Estado de Santa Aurora;Secretaria de Saúde de Santa Clara
P-02939;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Maria Oliveira
P-02940;Ações hipotecárias;Construtora Nova Era Ltda.;Pedro Henrique Santos
P-02941;Execução Fiscal;Instituto Nacional de Energia Renovável;Fernanda Costa
P-02942;Inventário e partilha;Oficina Mecânica do Zé;Pedro Henrique Santos
P-02943;Busca e apreensão;Ana Paula Lima;Carlos Souza
P-02944;Ações hipotecárias;TechBrasil S.A.;Ricardo Almeida
P-02945;Trabalhista;GlobalTech Corp.;Ana Paula Lima
P-02946;Execução de alimentos;Construtora Nova Era Ltda.;João da Silva
P-02947;Busca e apreensão;Pedro Henrique Santos;Ricardo Almeida
P-02948;Inventário e partilha;Fernanda Costa;Ricardo Almeida
P-02949;Execução de alimentos;Carlos Souza;João da Silva
P-02950;Trabalhista;Pedro Henrique Santos;Oficina Mecânica do Zé
P-02951;Busca e apreensão;Pedro Henrique Santos;Oficina Mecânica do Zé
P-02952;Trabalhista;Maria Oliveira;Instituto Nacional de Energia Renovável
P-02953;Execução de título extrajudicial;Fernanda Costa;Ana Paula Lima
P-02954;Execução Cível;Estado de Santa Aurora;Instituto Nacional de Energia Renovável
P-02955;Execução de título extrajudicial;TechBrasil S.A.;Prefeitura Municipal de Nova Esperança
P-02956;Busca e apreensão;Estado de Santa Aurora;João da Silva
P-02957;Ações hipotecárias;Ana Paula Lima;Ricardo Almeida
P-02958;Busca e apreensão;Instituto Nacional de Energia Renovável;Construtora Nova Era Ltda.
P-02959;Execução de alimentos;Instituto Nacional de Energia Renovável;Juliana Rocha
P-02960;Execução de título extrajudicial;Construtora Nova Era Ltda.;Carlos Souza
P-02961;Ações hipotecárias;Carlos Souza;Instituto Nacional de Energia Renovável
P-02962;Busca e apreensão;Fernanda Costa;Ana Paula Lima
P-02963;Ações hipotecárias;Oficina Mecânica do Zé;GlobalTech Corp.
P-02964;Ações hipotecárias;Juliana Rocha;Carlos Souza
P-02965;Inventário e partilha;Ricardo Almeida;Ricardo Almeida
P-02966;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Secretaria de Saúde de Santa Clara
P-02967;Falência e Recuperação Judicial;Estado de Santa Aurora;João da Silva
P-02968;Execução Fiscal;Estado de Santa Aurora;AgroVale Ltda.
P-02969;Ações hipotecárias;Carlos Souza;João da Silva
P-02970;Extinção de condomínio;GlobalTech Corp.;AgroVale Ltda.
P-02971;Extinção de condomínio;TechBrasil S.A.;Secretaria de Saúde de Santa Clara
P-02972;Execução de título extrajudicial;Estado de Santa Aurora;TechBrasil S.A.
P-02973;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Ana Paula Lima
P-02974;Ações hipotecárias;Fernanda Costa;Pedro Henrique Santos
P-02975;Ações hipotecárias;GlobalTech Corp.;Maria Oliveira
P-02976;Execução de título extrajudicial;AgroVale Ltda.;AgroVale Ltda.
P-02977;Extinção de condomínio;Fernanda Costa;João da Silva
P-02978;Busca e apreensão;Ana Paula Lima;AgroVale Ltda.
P-02979;Execução Fiscal;Estado de Santa Aurora;Instituto Nacional de Energia Renovável
P-02980;Execução Cível;Ricardo Almeida;Oficina Mecânica do Zé
P-02981;Execução Cível;TechBrasil S.A.;AgroVale Ltda.
P-02982;Inventário e partilha;Maria Oliveira;Oficina Mecânica do Zé
P-02983;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Fernanda Costa
P-02984;Inventário e partilha;Fernanda Costa;Maria Oliveira
P-02985;Trabalhista;Juliana Rocha;Ricardo Almeida
P-02986;Trabalhista;Construtora Nova Era Ltda.;AgroVale Ltda.
P-02987;Busca e apreensão;Oficina Mecânica do Zé;Prefeitura Municipal de Nova Esperança
P-02988;Execução Cível;Carlos Souza;João da Silva
P-02989;Trabalhista;Oficina Mecânica do Zé;Fernanda Costa
P-02990;Falência e Recuperação Judicial;Estado de Santa Aurora;Carlos Souza
P-02991;Busca e apreensão;Fernanda Costa;Ricardo Almeida
P-02992;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Ricardo Almeida
P-02993;Execução Cível;Secretaria de Saúde de Santa Clara;Juliana Rocha
P-02994;Execução de título extrajudicial;Instituto Nacional de Energia Renovável;Construtora Nova Era Ltda.
P-02995;Execução Fiscal;Instituto Nacional de Energia Renovável;AgroVale Ltda.
P-02996;Extinção de condomínio;Estado de Santa Aurora;Carlos Souza
P-02997;Busca e apreensão;Estado de Santa Aurora;Carlos Souza
P-02998;Inventário e partilha;Carlos Souza;Juliana Rocha
P-02999;Ações hipotecárias;TechBrasil S.A.;Prefeitura Municipal de Nova Esperança
P-03000;Busca e apreensão;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-03001;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Maria Oliveira
P-03002;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-03003;Execução de alimentos;AgroVale Ltda.;Construtora Nova Era Ltda.
P-03004;Extinção de condomínio;Secretaria de Saúde de Santa Clara;Pedro Henrique Santos
P-03005;Ações hipotecárias;GlobalTech Corp.;Juliana Rocha
P-03006;Inventário e partilha;Oficina Mecânica do Zé;João da Silva
P-03007;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Maria Oliveira
P-03008;Execução de alimentos;Oficina Mecânica do Zé;Fernanda Costa
P-03009;Extinção de condomínio;Instituto Nacional de Energia Renovável;Instituto Nacional de Energia Renovável
P-03010;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-03011;Busca e apreensão;Secretaria de Saúde de Santa Clara;Secretaria de Saúde de Santa Clara
P-03012;Execução Cível;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-03013;Busca e apreensão;Carlos Souza;Oficina Mecânica do Zé
P-03014;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Secretaria de Saúde de Santa Clara
P-03015;Execução de título extrajudicial;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-03016;Inventário e partilha;João da Silva;Ana Paula Lima
P-03017;Trabalhista;Prefeitura Municipal de Nova Esperança;Estado de Santa Aurora
P-03018;Execução de título extrajudicial;AgroVale Ltda.;Construtora Nova Era Ltda.
P-03019;Busca e apreensão;João da Silva;TechBrasil S.A.
P-03020;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-03021;Execução Cível;TechBrasil S.A.;João da Silva
P-03022;Inventário e partilha;Maria Oliveira;Estado de Santa Aurora
P-03023;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Pedro Henrique Santos
P-03024;Inventário e partilha;Juliana Rocha;Ricardo Almeida
P-03025;Ações hipotecárias;Fernanda Costa;Carlos Souza
P-03026;Busca e apreensão;Maria Oliveira;Ana Paula Lima
P-03027;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;Oficina Mecânica do Zé
P-03028;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-03029;Busca e apreensão;Construtora Nova Era Ltda.;Construtora Nova Era Ltda.
P-03030;Extinção de condomínio;Ana Paula Lima;Fernanda Costa
P-03031;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Pedro Henrique Santos
P-03032;Trabalhista;Oficina Mecânica do Zé;Prefeitura Municipal de Nova Esperança
P-03033;Execução Cível;Pedro Henrique Santos;Juliana Rocha
P-03034;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Ricardo Almeida
P-03035;Busca e apreensão;Ricardo Almeida;Ana Paula Lima
P-03036;Ações hipotecárias;Instituto Nacional de Energia Renovável;GlobalTech Corp.
P-03037;Trabalhista;TechBrasil S.A.;Ana Paula Lima
P-03038;Execução Cível;Secretaria de Saúde de Santa Clara;Pedro Henrique Santos
P-03039;Execução de título extrajudicial;Carlos Souza;Pedro Henrique Santos
P-03040;Extinção de condomínio;GlobalTech Corp.;Secretaria de Saúde de Santa Clara
P-03041;Ações hipotecárias;Instituto Nacional de Energia Renovável;AgroVale Ltda.
P-03042;Inventário e partilha;Oficina Mecânica do Zé;Instituto Nacional de Energia Renovável
P-03043;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;Ricardo Almeida
P-03044;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-03045;Busca e apreensão;Estado de Santa Aurora;Juliana Rocha
P-03046;Inventário e partilha;Juliana Rocha;Carlos Souza
P-03047;Execução de alimentos;Instituto Nacional de Energia Renovável;TechBrasil S.A.
P-03048;Execução Fiscal;Prefeitura Municipal de Nova Esperança;João da Silva
P-03049;Extinção de condomínio;Pedro Henrique Santos;Ana Paula Lima
P-03050;Busca e apreensão;Carlos Souza;Construtora Nova Era Ltda.
P-03051;Execução de alimentos;Maria Oliveira;GlobalTech Corp.
P-03052;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Fernanda Costa
P-03053;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Carlos Souza
P-03054;Execução Cível;Estado de Santa Aurora;Juliana Rocha
P-03055;Inventário e partilha;Construtora Nova Era Ltda.;Secretaria de Saúde de Santa Clara
P-03056;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Estado de Santa Aurora
P-03057;Extinção de condomínio;João da Silva;Estado de Santa Aurora
P-03058;Busca e apreensão;Carlos Souza;Ricardo Almeida
P-03059;Busca e apreensão;TechBrasil S.A.;TechBrasil S.A.
P-03060;Ações hipotecárias;Ricardo Almeida;AgroVale Ltda.
P-03061;Inventário e partilha;Oficina Mecânica do Zé;GlobalTech Corp.
P-03062;Execução de alimentos;AgroVale Ltda.;Maria Oliveira
P-03063;Ações hipotecárias;Construtora Nova Era Ltda.;João da Silva
P-03064;Execução de alimentos;AgroVale Ltda.;Fernanda Costa
P-03065;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-03066;Extinção de condomínio;Pedro Henrique Santos;Pedro Henrique Santos
P-03067;Execução de título extrajudicial;AgroVale Ltda.;Maria Oliveira
P-03068;Busca e apreensão;João da Silva;TechBrasil S.A.
P-03069;Execução de alimentos;Construtora Nova Era Ltda.;João da Silva
P-03070;Ações hipotecárias;TechBrasil S.A.;Pedro Henrique Santos
P-03071;Execução Cível;Pedro Henrique Santos;Maria Oliveira
P-03072;Execução Fiscal;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-03073;Execução Cível;Juliana Rocha;Maria Oliveira
P-03074;Execução Cível;Pedro Henrique Santos;João da Silva
P-03075;Execução Fiscal;Instituto Nacional de Energia Renovável;Instituto Nacional de Energia Renovável
P-03076;Falência e Recuperação Judicial;Estado de Santa Aurora;Prefeitura Municipal de Nova Esperança
P-03077;Busca e apreensão;Fernanda Costa;Estado de Santa Aurora
P-03078;Trabalhista;João da Silva;Ana Paula Lima
P-03079;Execução Fiscal;Secretaria de Saúde de Santa Clara;Prefeitura Municipal de Nova Esperança
P-03080;Busca e apreensão;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-03081;Busca e apreensão;Construtora Nova Era Ltda.;Instituto Nacional de Energia Renovável
P-03082;Ações hipotecárias;AgroVale Ltda.;GlobalTech Corp.
P-03083;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Instituto Nacional de Energia Renovável
P-03084;Trabalhista;Pedro Henrique Santos;AgroVale Ltda.
P-03085;Execução Fiscal;Secretaria de Saúde de Santa Clara;Pedro Henrique Santos
P-03086;Trabalhista;Estado de Santa Aurora;TechBrasil S.A.
P-03087;Execução de alimentos;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-03088;Execução de alimentos;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-03089;Extinção de condomínio;Oficina Mecânica do Zé;Prefeitura Municipal de Nova Esperança
P-03090;Execução Cível;João da Silva;Ricardo Almeida
P-03091;Execução Cível;Prefeitura Municipal de Nova Esperança;TechBrasil S.A.
P-03092;Execução de alimentos;Maria Oliveira;Maria Oliveira
P-03093;Trabalhista;Secretaria de Saúde de Santa Clara;Ana Paula Lima
P-03094;Inventário e partilha;Maria Oliveira;AgroVale Ltda.
P-03095;Trabalhista;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-03096;Extinção de condomínio;Prefeitura Municipal de Nova Esperança;Carlos Souza
P-03097;Extinção de condomínio;TechBrasil S.A.;GlobalTech Corp.
P-03098;Falência e Recuperação Judicial;Estado de Santa Aurora;Construtora Nova Era Ltda.
P-03099;Extinção de condomínio;João da Silva;Prefeitura Municipal de Nova Esperança
P-03100;Busca e apreensão;Estado de Santa Aurora;Construtora Nova Era Ltda.
P-03101;Trabalhista;Pedro Henrique Santos;Oficina Mecânica do Zé
P-03102;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Oficina Mecânica do Zé
P-03103;Execução de título extrajudicial;Ana Paula Lima;Ana Paula Lima
P-03104;Extinção de condomínio;Juliana Rocha;Estado de Santa Aurora
P-03105;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Juliana Rocha
P-03106;Busca e apreensão;Carlos Souza;Pedro Henrique Santos
P-03107;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;Estado de Santa Aurora
P-03108;Trabalhista;Secretaria de Saúde de Santa Clara;Estado de Santa Aurora
P-03109;Execução de alimentos;Fernanda Costa;Oficina Mecânica do Zé
P-03110;Inventário e partilha;Oficina Mecânica do Zé;Estado de Santa Aurora
P-03111;Execução de título extrajudicial;João da Silva;Estado de Santa Aurora
P-03112;Execução de título extrajudicial;Construtora Nova Era Ltda.;Juliana Rocha
P-03113;Busca e apreensão;Carlos Souza;Carlos Souza
P-03114;Extinção de condomínio;Ana Paula Lima;AgroVale Ltda.
P-03115;Extinção de condomínio;Carlos Souza;Estado de Santa Aurora
P-03116;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;AgroVale Ltda.
P-03117;Execução de título extrajudicial;Estado de Santa Aurora;Oficina Mecânica do Zé
P-03118;Execução de título extrajudicial;Instituto Nacional de Energia Renovável;Fernanda Costa
P-03119;Extinção de condomínio;Juliana Rocha;Instituto Nacional de Energia Renovável
P-03120;Execução de título extrajudicial;Ana Paula Lima;Juliana Rocha
P-03121;Execução de título extrajudicial;AgroVale Ltda.;Pedro Henrique Santos
P-03122;Trabalhista;Secretaria de Saúde de Santa Clara;Juliana Rocha
P-03123;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Pedro Henrique Santos
P-03124;Busca e apreensão;Estado de Santa Aurora;Estado de Santa Aurora
P-03125;Trabalhista;Secretaria de Saúde de Santa Clara;GlobalTech Corp.
P-03126;Execução de título extrajudicial;AgroVale Ltda.;TechBrasil S.A.
P-03127;Execução de título extrajudicial;Construtora Nova Era Ltda.;AgroVale Ltda.
P-03128;Execução de alimentos;Juliana Rocha;Prefeitura Municipal de Nova Esperança
P-03129;Falência e Recuperação Judicial;Secretaria de Saúde de Santa Clara;Fernanda Costa
P-03130;Busca e apreensão;Secretaria de Saúde de Santa Clara;Maria Oliveira
P-03131;Trabalhista;Prefeitura Municipal de Nova Esperança;João da Silva
P-03132;Trabalhista;Oficina Mecânica do Zé;Ricardo Almeida
P-03133;Trabalhista;Estado de Santa Aurora;Instituto Nacional de Energia Renovável
P-03134;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Fernanda Costa
P-03135;Execução de alimentos;Construtora Nova Era Ltda.;Oficina Mecânica do Zé
P-03136;Trabalhista;Fernanda Costa;Estado de Santa Aurora
P-03137;Inventário e partilha;João da Silva;Maria Oliveira
P-03138;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;João da Silva
P-03139;Ações hipotecárias;Instituto Nacional de Energia Renovável;Pedro Henrique Santos
P-03140;Ações hipotecárias;Maria Oliveira;Maria Oliveira
P-03141;Trabalhista;Oficina Mecânica do Zé;Construtora Nova Era Ltda.
P-03142;Ações hipotecárias;Instituto Nacional de Energia Renovável;Prefeitura Municipal de Nova Esperança
P-03143;Trabalhista;Construtora Nova Era Ltda.;Construtora Nova Era Ltda.
P-03144;Execução Cível;Maria Oliveira;Instituto Nacional de Energia Renovável
P-03145;Extinção de condomínio;Juliana Rocha;Prefeitura Municipal de Nova Esperança
P-03146;Ações hipotecárias;Pedro Henrique Santos;Ana Paula Lima
P-03147;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Ana Paula Lima
P-03148;Ações hipotecárias;Instituto Nacional de Energia Renovável;Carlos Souza
P-03149;Execução Cível;Juliana Rocha;Carlos Souza
P-03150;Trabalhista;TechBrasil S.A.;Carlos Souza
P-03151;Execução de alimentos;Estado de Santa Aurora;AgroVale Ltda.
P-03152;Execução Cível;Instituto Nacional de Energia Renovável;Juliana Rocha
P-03153;Execução de título extrajudicial;Construtora Nova Era Ltda.;Maria Oliveira
P-03154;Execução de alimentos;Prefeitura Municipal de Nova Esperança;GlobalTech Corp.
P-03155;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Construtora Nova Era Ltda.
P-03156;Execução Fiscal;Secretaria de Saúde de Santa Clara;AgroVale Ltda.
P-03157;Trabalhista;Oficina Mecânica do Zé;Ricardo Almeida
P-03158;Busca e apreensão;Instituto Nacional de Energia Renovável;Maria Oliveira
P-03159;Trabalhista;Construtora Nova Era Ltda.;Secretaria de Saúde de Santa Clara
P-03160;Busca e apreensão;Juliana Rocha;Estado de Santa Aurora
P-03161;Inventário e partilha;Maria Oliveira;Fernanda Costa
P-03162;Execução de título extrajudicial;Ricardo Almeida;Juliana Rocha
P-03163;Execução de título extrajudicial;GlobalTech Corp.;Juliana Rocha
P-03164;Ações hipotecárias;Pedro Henrique Santos;Instituto Nacional de Energia Renovável
P-03165;Extinção de condomínio;João da Silva;Ana Paula Lima
P-03166;Inventário e partilha;João da Silva;Fernanda Costa
P-03167;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Fernanda Costa
P-03168;Busca e apreensão;Prefeitura Municipal de Nova Esperança;Fernanda Costa
P-03169;Trabalhista;Ricardo Almeida;Secretaria de Saúde de Santa Clara
P-03170;Trabalhista;João da Silva;Fernanda Costa
P-03171;Execução de título extrajudicial;Estado de Santa Aurora;Fernanda Costa
P-03172;Inventário e partilha;Fernanda Costa;TechBrasil S.A.
P-03173;Execução Fiscal;Instituto Nacional de Energia Renovável;GlobalTech Corp.
P-03174;Busca e apreensão;Instituto Nacional de Energia Renovável;Secretaria de Saúde de Santa Clara
P-03175;Extinção de condomínio;AgroVale Ltda.;Carlos Souza
P-03176;Execução Fiscal;Prefeitura Municipal de Nova Esperança;Ana Paula Lima
P-03177;Execução Fiscal;Instituto Nacional de Energia Renovável;GlobalTech Corp.
P-03178;Trabalhista;João da Silva;Ricardo Almeida
P-03179;Extinção de condomínio;Fernanda Costa;Oficina Mecânica do Zé
P-03180;Execução Cível;Oficina Mecânica do Zé;Prefeitura Municipal de Nova Esperança
P-03181;Execução de título extrajudicial;Construtora Nova Era Ltda.;Ana Paula Lima
P-03182;Execução Fiscal;Estado de Santa Aurora;João da Silva
P-03183;Execução Cível;Construtora Nova Era Ltda.;Juliana Rocha
P-03184;Execução de alimentos;Estado de Santa Aurora;Estado de Santa Aurora
P-03185;Execução de alimentos;Ana Paula Lima;Carlos Souza
P-03186;Ações hipotecárias;Ricardo Almeida;Construtora Nova Era Ltda.
P-03187;Inventário e partilha;Carlos Souza;Prefeitura Municipal de Nova Esperança
P-03188;Busca e apreensão;Construtora Nova Era Ltda.;Ricardo Almeida
P-03189;Trabalhista;Fernanda Costa;Oficina Mecânica do Zé
P-03190;Inventário e partilha;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-03191;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;João da Silva
P-03192;Execução Cível;Estado de Santa Aurora;Pedro Henrique Santos
P-03193;Extinção de condomínio;GlobalTech Corp.;Juliana Rocha
P-03194;Execução de alimentos;Pedro Henrique Santos;Carlos Souza
P-03195;Extinção de condomínio;Carlos Souza;Pedro Henrique Santos
P-03196;Inventário e partilha;Ana Paula Lima;Instituto Nacional de Energia Renovável
P-03197;Ações hipotecárias;GlobalTech Corp.;Juliana Rocha
P-03198;Ações hipotecárias;Carlos Souza;Estado de Santa Aurora
P-03199;Ações hipotecárias;Prefeitura Municipal de Nova Esperança;Instituto Nacional de Energia Renovável
P-03200;Execução Cível;TechBrasil S.A.;Fernanda Costa
P-03201;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Pedro Henrique Santos
P-03202;Execução Fiscal;Secretaria de Saúde de Santa Clara;Construtora Nova Era Ltda.
P-03203;Inventário e partilha;Estado de Santa Aurora;Secretaria de Saúde de Santa Clara
P-03204;Falência e Recuperação Judicial;Prefeitura Municipal de Nova Esperança;GlobalTech Corp.
P-03205;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Secretaria de Saúde de Santa Clara
P-03206;Inventário e partilha;Pedro Henrique Santos;Ricardo Almeida
P-03207;Busca e apreensão;Construtora Nova Era Ltda.;Prefeitura Municipal de Nova Esperança
P-03208;Trabalhista;Construtora Nova Era Ltda.;Instituto Nacional de Energia Renovável
P-03209;Extinção de condomínio;Ana Paula Lima;Estado de Santa Aurora
P-03210;Extinção de condomínio;Construtora Nova Era Ltda.;Ana Paula Lima
P-03211;Execução Fiscal;Instituto Nacional de Energia Renovável;Oficina Mecânica do Zé
P-03212;Ações hipotecárias;Oficina Mecânica do Zé;GlobalTech Corp.
P-03213;Execução de título extrajudicial;Secretaria de Saúde de Santa Clara;João da Silva
P-03214;Execução de título extrajudicial;Carlos Souza;Carlos Souza
P-03215;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Secretaria de Saúde de Santa Clara
P-03216;Busca e apreensão;Pedro Henrique Santos;Instituto Nacional de Energia Renovável
P-03217;Execução Cível;Carlos Souza;GlobalTech Corp.
P-03218;Execução de título extrajudicial;Prefeitura Municipal de Nova Esperança;Ana Paula Lima
P-03219;Trabalhista;GlobalTech Corp.;GlobalTech Corp.
P-03220;Falência e Recuperação Judicial;Instituto Nacional de Energia Renovável;Maria Oliveira
P-03221;Execução Fiscal;Instituto Nacional de Energia Renovável;Maria Oliveira
P-03222;Execução de alimentos;Construtora Nova Era Ltda.;Estado de Santa Aurora
P-03223;Execução de alimentos;Construtora Nova Era Ltda.;Estado de Santa Aurora
P-03224;Inventário e partilha;GlobalTech Corp.;Pedro Henrique Santos
P-03225;Trabalhista;AgroVale Ltda.;TechBrasil S.A.
P-03226;Execução de título extrajudicial;Pedro Henrique Santos;AgroVale Ltda.
P-03227;Execução Cível;Ana Paula Lima;Maria Oliveira
P-03228;Ações hipotecárias;GlobalTech Corp.;Oficina Mecânica do Zé
P-03229;Execução de alimentos;Maria Oliveira;Secretaria de Saúde de Santa Clara
